EMP NO,AGE,MARITAL STATUS,GENDER,EDU_ID,JOB_ID,BUSINESS TRAVEL,CF_ATTRITION LABEL,OVER TIME,DISTANCE FROM HOME,TRAINING TIMES LAST YEAR,HOURLY RATE,DAILY RATE,MONTHLY RATE,MONTHLY INCOME,JOB INVOLVEMENT,JOB SATISFACTION,ENVIRONMENT SATISFACTION,RELATIONSHIP SATISFACTION,PERCENT SALARY HIKE,WORK LIFE BALANCE,PERFORMANCE RATING,NUM COMPANIES WORKED,TOTAL WORKING YEARS,YEARS AT COMPANY,YEARS IN CURRENT ROLE,YEARS SINCE LAST PROMOTION,YEARS WITH CURR MANAGER,DATE JOINED,,,,,,
STAFF-13,31,DIVORCED,MALE,6,8,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,26,1,31,670,15170,2911,3,3,1,4,17,2,3,1,5,5,2,4,3,05-09-18,,,,,,
STAFF-14,34,DIVORCED,MALE,17,4,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,19,2,93,1346,8758,2661,3,4,2,3,11,3,3,0,3,2,2,1,2,14-02-19,,,,,,
STAFF-15,28,SINGLE,MALE,8,4,TRAVEL_RARELY,EX-EMPLOYEES,YES,24,4,50,103,12947,2028,2,3,3,2,14,3,3,5,6,4,2,0,3,13-03-12,,,,,,
STAFF-16,29,DIVORCED,FEMALE,9,6,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,21,1,51,1389,10195,9980,4,1,2,3,11,3,3,1,10,10,9,8,8,13-02-20,,,,,,
STAFF-17,32,DIVORCED,MALE,7,8,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,5,5,80,334,15053,3298,4,2,1,4,12,2,3,0,7,6,2,0,5,02-11-20,,,,,,
STAFF-18,22,DIVORCED,MALE,17,4,NON-TRAVEL,CURRENT EMPLOYEES,YES,16,2,96,1123,7324,2935,4,4,4,2,13,2,3,1,1,1,0,0,0,08-04-14,,,,,,
STAFF-19,53,MARRIED,FEMALE,9,9,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,2,3,78,1219,22021,15427,2,4,1,3,16,3,3,2,31,25,8,3,7,11-09-08,,,,,,
STAFF-20,38,SINGLE,MALE,8,8,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,2,3,45,371,4306,3944,3,4,4,3,11,3,3,5,6,3,2,1,2,09-01-11,,,,,,
STAFF-21,24,DIVORCED,FEMALE,22,6,NON-TRAVEL,CURRENT EMPLOYEES,NO,11,5,96,673,8232,4011,4,3,1,4,18,2,3,0,5,4,2,1,3,08-01-10,,,,,,
STAFF-22,36,SINGLE,MALE,9,11,TRAVEL_RARELY,EX-EMPLOYEES,NO,9,4,82,1218,6986,3407,2,1,3,2,23,3,4,7,10,5,3,0,3,15-03-74,,,,,,
STAFF-23,34,SINGLE,FEMALE,9,7,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,7,4,53,419,21293,11994,3,2,1,3,11,3,3,0,13,12,6,2,11,04-09-17,,,,,,
STAFF-24,21,SINGLE,MALE,7,8,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,15,6,96,391,19281,1232,3,4,3,4,14,3,3,1,0,0,0,0,0,09-04-13,,,,,,
STAFF-25,34,SINGLE,MALE,16,8,TRAVEL_RARELY,EX-EMPLOYEES,NO,6,2,83,699,17102,2960,3,1,2,3,11,3,3,2,8,4,2,1,3,09-12-17,,,,,,
STAFF-26,53,DIVORCED,FEMALE,23,5,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,5,3,58,1282,10735,19094,3,3,3,4,11,2,3,4,26,14,13,4,8,09-03-16,,,,,,
STAFF-27,32,SINGLE,FEMALE,6,8,TRAVEL_FREQUENTLY,EX-EMPLOYEES,YES,16,5,72,1125,4681,3919,1,1,2,2,22,3,4,1,10,10,2,6,7,07-11-23,,,,,,
STAFF-28,42,MARRIED,MALE,14,10,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,8,2,48,691,21173,6825,3,2,3,4,11,3,3,0,10,9,7,4,2,14-09-15,,,,,,
STAFF-29,44,MARRIED,FEMALE,19,3,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,7,4,42,477,2094,10248,2,4,1,4,14,3,3,3,24,22,6,5,17,15-02-16,,,,,,
STAFF-30,46,SINGLE,FEMALE,14,9,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,2,2,83,705,22822,18947,3,1,2,4,12,2,3,3,22,2,2,2,1,10-02-23,,,,,,
STAFF-31,33,SINGLE,MALE,18,4,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,2,3,78,924,6670,2496,3,4,3,4,11,3,3,4,7,1,1,0,0,05-04-16,,,,,,
STAFF-32,44,MARRIED,MALE,24,3,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,10,5,41,1459,19121,6465,3,4,4,4,13,4,3,2,9,4,2,1,3,06-12-06,,,,,,
STAFF-33,30,SINGLE,MALE,17,4,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,9,5,83,125,16117,2206,2,3,4,1,13,3,3,1,10,10,0,1,8,10-06-08,,,,,,
STAFF-34,39,MARRIED,MALE,28,11,TRAVEL_RARELY,EX-EMPLOYEES,NO,5,6,56,895,3335,2086,3,4,4,3,14,4,3,3,19,1,0,0,0,08-08-19,,,,,,
STAFF-35,24,MARRIED,MALE,18,8,TRAVEL_RARELY,EX-EMPLOYEES,YES,1,2,61,813,3020,2293,3,4,2,1,16,2,3,2,6,2,0,2,0,06-11-09,,,,,,
STAFF-36,43,DIVORCED,FEMALE,17,8,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,2,3,72,1273,21923,2645,4,3,4,4,12,2,3,1,6,5,3,1,4,12-09-13,,,,,,
STAFF-37,50,MARRIED,MALE,12,11,TRAVEL_RARELY,EX-EMPLOYEES,YES,3,2,86,869,3810,2683,2,3,1,3,14,3,3,1,3,3,2,0,2,05-06-17,,,,,,
STAFF-38,35,MARRIED,FEMALE,13,11,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,2,3,97,890,9687,2014,3,4,4,1,13,3,3,1,2,2,2,2,2,14-09-17,,,,,,
STAFF-39,36,MARRIED,FEMALE,9,8,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,5,3,82,852,13072,3419,2,1,2,4,14,4,3,9,6,1,1,0,0,15-11-09,,,,,,
STAFF-40,33,MARRIED,FEMALE,8,10,TRAVEL_FREQUENTLY,CURRENT EMPLOYEES,NO,1,3,42,1141,3193,5376,4,1,3,1,19,3,3,2,10,5,3,1,3,01-01-14,,,,,,
STAFF-41,35,DIVORCED,MALE,22,4,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,4,3,75,464,10910,1951,3,4,3,3,12,3,3,1,1,1,0,0,0,09-03-22,,,,,,
STAFF-42,27,DIVORCED,FEMALE,9,4,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,2,6,33,1240,19715,2341,3,1,4,4,13,3,3,1,1,1,0,0,0,04-04-19,,,,,,
STAFF-43,26,SINGLE,MALE,8,4,TRAVEL_RARELY,EX-EMPLOYEES,NO,25,2,48,1357,10558,2293,1,3,1,3,12,2,3,1,1,1,0,0,1,09-01-19,,,,,,
STAFF-44,27,SINGLE,MALE,8,10,TRAVEL_FREQUENTLY,CURRENT EMPLOYEES,NO,8,0,37,994,2975,8726,3,3,4,4,15,3,3,1,9,9,8,1,7,02-10-09,,,,,,
STAFF-45,30,SINGLE,FEMALE,17,4,TRAVEL_FREQUENTLY,CURRENT EMPLOYEES,NO,1,2,58,721,10781,4011,3,4,3,4,23,3,4,1,12,12,8,3,7,05-08-21,,,,,,
STAFF-46,41,MARRIED,FEMALE,28,7,TRAVEL_RARELY,EX-EMPLOYEES,NO,12,0,49,1360,16280,19545,3,3,2,4,12,3,3,1,23,22,15,15,8,14-03-11,,,,,,
STAFF-47,34,SINGLE,MALE,14,10,NON-TRAVEL,CURRENT EMPLOYEES,NO,23,2,72,1065,10034,4568,3,3,2,3,20,3,4,0,10,9,5,8,7,04-12-15,,,,,,
STAFF-48,37,MARRIED,MALE,7,8,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,19,1,73,408,10227,3022,3,2,2,1,21,3,4,4,8,1,0,0,0,07-09-19,,,,,,
STAFF-49,46,SINGLE,MALE,14,10,TRAVEL_FREQUENTLY,CURRENT EMPLOYEES,YES,5,4,98,1211,20445,5772,3,4,1,3,21,3,4,4,14,9,6,0,8,01-03-12,,,,,,
STAFF-50,35,MARRIED,MALE,6,4,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,8,2,36,1229,4892,2269,4,4,4,4,19,3,3,1,1,1,0,0,1,06-09-16,,,,,,
STAFF-51,48,SINGLE,MALE,7,4,TRAVEL_RARELY,EX-EMPLOYEES,YES,1,2,98,626,19294,5381,2,3,1,4,13,3,3,9,23,1,0,0,0,10-01-20,,,,,,
STAFF-52,28,SINGLE,MALE,29,4,TRAVEL_RARELY,EX-EMPLOYEES,YES,5,3,50,1434,11179,3441,3,3,3,3,13,2,3,1,2,2,2,2,2,14-09-13,,,,,,
STAFF-53,44,DIVORCED,FEMALE,15,10,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,1,2,75,1488,4009,5454,3,1,2,3,21,2,4,5,9,4,3,1,3,08-08-19,,,,,,
STAFF-54,35,MARRIED,MALE,17,3,NON-TRAVEL,CURRENT EMPLOYEES,YES,11,3,79,1097,8302,9884,2,1,3,3,13,3,3,2,10,4,0,2,3,12-06-22,,,,,,
STAFF-55,26,MARRIED,FEMALE,13,10,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,23,2,47,1443,21436,4157,2,4,3,3,19,2,3,7,5,2,2,0,0,06-10-16,,,,,,
STAFF-56,33,SINGLE,FEMALE,7,7,TRAVEL_FREQUENTLY,CURRENT EMPLOYEES,YES,1,1,98,515,15146,13458,3,4,1,3,12,3,3,1,15,15,14,8,12,13-12-08,,,,,,
STAFF-57,35,MARRIED,MALE,10,10,TRAVEL_FREQUENTLY,CURRENT EMPLOYEES,NO,18,3,71,853,11031,9069,3,1,2,4,22,2,4,1,9,9,8,1,8,09-01-20,,,,,,
STAFF-58,35,MARRIED,FEMALE,19,4,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,23,3,30,1142,16002,4014,3,1,3,3,15,3,3,3,4,2,2,2,2,03-02-18,,,,,,
STAFF-59,31,DIVORCED,MALE,9,4,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,7,3,48,655,9528,5915,3,4,4,4,22,2,4,3,10,7,7,1,7,09-10-15,,,,,,
STAFF-60,37,DIVORCED,MALE,9,6,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,1,2,51,1115,2689,5993,2,3,1,3,18,4,3,1,7,7,5,0,7,10-07-17,,,,,,
STAFF-61,32,MARRIED,MALE,18,6,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,1,3,33,427,10877,6162,3,4,1,2,22,3,4,1,9,9,8,7,8,12-12-20,,,,,,
STAFF-62,38,SINGLE,FEMALE,10,4,TRAVEL_FREQUENTLY,CURRENT EMPLOYEES,NO,29,2,50,653,5456,2406,3,4,4,4,11,3,3,1,10,10,3,9,9,08-01-09,,,,,,
STAFF-63,50,DIVORCED,FEMALE,17,7,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,7,2,43,989,16701,18740,2,3,2,4,12,2,3,5,29,27,3,13,8,03-10-12,,,,,,
STAFF-64,59,SINGLE,FEMALE,8,10,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,25,3,99,1435,2354,7637,3,1,1,4,11,2,3,7,28,21,16,7,9,03-09-12,,,,,,
STAFF-65,36,DIVORCED,FEMALE,28,3,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,8,2,59,1223,8202,10096,3,3,3,2,13,3,3,1,17,17,14,12,8,10-06-14,,,,,,
STAFF-66,55,DIVORCED,FEMALE,18,5,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,8,2,33,836,19730,14756,3,3,4,3,14,3,3,2,21,5,0,0,2,13-08-10,,,,,,
STAFF-67,36,SINGLE,MALE,8,6,TRAVEL_FREQUENTLY,CURRENT EMPLOYEES,NO,11,3,95,1195,22656,6499,2,2,2,3,13,3,3,1,6,6,5,0,3,02-07-13,,,,,,
STAFF-68,45,DIVORCED,MALE,8,8,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,7,2,59,1339,18787,9724,3,1,2,3,17,3,3,2,25,1,0,0,0,04-01-14,,,,,,
STAFF-69,35,MARRIED,MALE,18,8,TRAVEL_FREQUENTLY,CURRENT EMPLOYEES,NO,1,2,79,664,5868,2194,3,1,2,4,13,2,3,4,5,3,2,1,2,11-01-15,,,,,,
STAFF-70,36,MARRIED,MALE,18,8,TRAVEL_RARELY,EX-EMPLOYEES,YES,9,0,79,318,21777,3388,2,3,4,1,17,2,3,0,2,1,0,0,0,09-09-14,,,,,,
STAFF-71,59,SINGLE,FEMALE,6,10,TRAVEL_FREQUENTLY,CURRENT EMPLOYEES,NO,1,2,57,1225,24668,5473,2,3,1,4,11,2,3,7,20,4,3,1,3,08-01-09,,,,,,
STAFF-72,29,MARRIED,MALE,8,8,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,2,3,76,1328,4956,2703,3,2,3,4,23,3,4,0,6,5,4,0,4,02-07-21,,,,,,
STAFF-73,31,SINGLE,MALE,19,8,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,1,4,87,1082,18775,2501,3,2,3,2,17,3,3,1,1,1,1,1,0,07-06-13,,,,,,
STAFF-74,32,MARRIED,MALE,8,8,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,1,3,66,548,7346,6220,3,2,2,2,17,3,3,1,10,10,4,0,9,03-09-12,,,,,,
STAFF-75,36,MARRIED,FEMALE,8,4,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,6,3,55,132,22002,3038,4,4,2,2,12,3,3,3,5,1,0,0,0,07-05-08,,,,,,
STAFF-76,31,SINGLE,FEMALE,9,6,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,8,2,61,746,20682,4424,3,4,3,4,23,3,4,1,11,11,7,1,8,12-09-20,,,,,,
STAFF-77,35,SINGLE,MALE,14,10,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,1,2,32,776,23016,4312,2,1,3,2,14,3,3,0,16,15,13,2,8,15-06-14,,,,,,
STAFF-78,45,MARRIED,MALE,24,7,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,6,3,52,193,15067,13245,3,1,4,2,14,4,3,4,17,0,0,0,0,14-12-17,,,,,,
STAFF-79,37,SINGLE,MALE,19,7,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,7,3,30,397,25258,13664,3,3,1,1,13,4,3,4,16,5,2,0,2,06-12-23,,,,,,
STAFF-80,46,DIVORCED,MALE,17,1,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,5,2,80,945,10425,5021,3,2,2,4,22,3,4,8,16,4,2,0,2,06-12-22,,,,,,
STAFF-81,30,MARRIED,MALE,6,4,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,1,1,55,852,15998,5126,2,4,4,3,12,2,3,1,10,10,8,3,0,08-02-05,,,,,,
STAFF-82,35,SINGLE,MALE,18,8,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,1,3,30,1214,26278,2859,2,3,2,1,18,3,3,1,6,6,4,0,4,13-01-22,,,,,,
STAFF-83,55,MARRIED,MALE,7,10,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,1,4,70,111,18092,10239,3,4,1,4,14,3,3,3,24,1,0,1,0,14-03-19,,,,,,
STAFF-84,38,DIVORCED,FEMALE,18,8,NON-TRAVEL,CURRENT EMPLOYEES,YES,6,3,79,573,15717,5329,1,4,2,4,12,3,3,7,17,13,11,1,9,13-06-10,,,,,,
STAFF-85,34,MARRIED,MALE,17,6,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,1,2,94,1153,17736,4325,3,2,1,3,15,3,3,1,5,5,2,1,3,07-09-22,,,,,,
STAFF-86,56,SINGLE,MALE,8,6,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,7,3,49,1400,21698,7260,1,4,4,1,11,2,3,4,37,6,4,0,2,12-03-05,,,,,,
STAFF-87,23,DIVORCED,MALE,26,11,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,2,3,62,541,9518,2322,3,1,3,3,13,3,3,3,3,0,0,0,0,04-10-11,,,,,,
STAFF-88,51,MARRIED,MALE,9,4,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,9,4,96,432,18725,2075,3,4,4,2,23,3,4,3,10,4,2,0,3,04-01-12,,,,,,
STAFF-89,30,MARRIED,MALE,8,3,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,2,3,99,288,15830,4152,2,4,3,1,19,3,3,1,11,11,10,10,8,02-01-18,,,,,,
STAFF-90,46,SINGLE,MALE,17,10,TRAVEL_RARELY,EX-EMPLOYEES,NO,9,3,64,669,13596,9619,2,4,3,4,16,3,3,1,9,9,8,4,7,10-08-21,,,,,,
STAFF-91,40,MARRIED,MALE,9,3,TRAVEL_FREQUENTLY,CURRENT EMPLOYEES,NO,1,3,78,530,14115,13503,2,2,3,4,22,2,4,1,22,22,3,11,11,10-07-18,,,,,,
STAFF-92,51,SINGLE,MALE,14,10,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,21,2,71,632,8423,5441,3,4,3,4,22,1,4,0,11,10,7,1,0,13-09-13,,,,,,
STAFF-93,30,DIVORCED,FEMALE,17,10,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,4,4,63,1334,19760,5209,2,2,3,2,12,2,3,1,11,11,8,2,7,05-01-87,,,,,,
STAFF-94,46,MARRIED,MALE,18,3,TRAVEL_FREQUENTLY,CURRENT EMPLOYEES,YES,1,5,40,638,3142,10673,2,1,3,3,13,2,3,2,21,10,9,9,5,14-09-20,,,,,,
STAFF-95,32,SINGLE,MALE,19,10,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,6,0,87,1093,24301,5010,3,3,2,1,16,3,3,1,12,11,8,5,7,09-02-13,,,,,,
STAFF-96,54,MARRIED,FEMALE,29,7,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,2,5,60,1217,24001,13549,3,3,1,1,12,1,3,9,16,4,3,0,3,09-09-13,,,,,,
STAFF-97,24,MARRIED,FEMALE,22,10,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,3,2,33,1353,17519,4999,3,3,1,1,21,2,4,0,4,3,2,0,2,14-03-14,,,,,,
STAFF-98,28,MARRIED,MALE,18,10,NON-TRAVEL,CURRENT EMPLOYEES,NO,4,3,43,120,8863,4221,3,3,2,2,15,4,3,1,5,5,4,0,4,13-08-06,,,,,,
STAFF-99,58,SINGLE,MALE,19,10,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,10,1,37,682,24409,13872,3,3,4,3,13,2,3,0,38,37,10,1,8,13-10-16,,,,,,
STAFF-100,44,MARRIED,MALE,18,4,NON-TRAVEL,CURRENT EMPLOYEES,NO,23,3,67,489,25043,2042,3,2,2,3,12,4,3,4,17,3,2,1,2,08-05-22,,,,,,
STAFF-101,37,DIVORCED,MALE,4,1,TRAVEL_RARELY,EX-EMPLOYEES,YES,6,3,63,807,23648,2073,3,1,3,4,22,3,4,4,7,3,2,0,2,02-07-15,,,,,,
STAFF-102,32,SINGLE,MALE,6,8,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,1,2,71,827,15178,2956,3,1,4,4,13,3,3,1,1,1,0,0,0,04-02-20,,,,,,
STAFF-103,20,SINGLE,FEMALE,8,4,TRAVEL_FREQUENTLY,EX-EMPLOYEES,YES,6,5,66,871,19783,2926,2,4,4,2,18,3,3,1,1,1,0,1,0,09-10-20,,,,,,
STAFF-104,34,SINGLE,FEMALE,24,8,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,6,3,41,665,12482,4809,3,3,1,3,14,3,3,1,16,16,13,2,10,09-07-16,,,,,,
STAFF-105,37,DIVORCED,MALE,7,3,NON-TRAVEL,CURRENT EMPLOYEES,NO,2,2,100,1040,15850,5163,2,4,3,4,14,4,3,5,17,1,0,0,0,08-09-07,,,,,,
STAFF-106,59,MARRIED,FEMALE,4,2,NON-TRAVEL,CURRENT EMPLOYEES,NO,2,3,32,1420,21922,18844,2,4,3,4,21,3,4,9,30,3,2,2,2,03-02-18,,,,,,
STAFF-107,50,MARRIED,FEMALE,8,7,TRAVEL_FREQUENTLY,CURRENT EMPLOYEES,YES,1,1,73,1115,9755,18172,3,2,1,1,19,2,3,3,28,8,3,0,7,09-07-23,,,,,,
STAFF-108,25,SINGLE,MALE,13,10,TRAVEL_RARELY,EX-EMPLOYEES,YES,5,1,46,240,26959,5744,2,3,3,4,11,3,3,1,6,6,4,0,3,15-08-18,,,,,,
STAFF-109,25,MARRIED,MALE,16,8,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,7,2,64,1280,26897,2889,2,4,4,3,11,3,3,1,2,2,2,2,1,09-06-16,,,,,,
STAFF-110,22,SINGLE,FEMALE,18,4,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,15,5,59,534,23785,2871,3,4,2,3,15,3,3,1,1,0,0,0,0,07-07-03,,,,,,
STAFF-111,51,SINGLE,FEMALE,19,3,TRAVEL_FREQUENTLY,CURRENT EMPLOYEES,NO,1,1,30,1456,25796,7484,2,1,1,3,20,2,4,3,23,13,12,12,8,14-07-02,,,,,,
STAFF-112,34,SINGLE,MALE,8,4,TRAVEL_FREQUENTLY,EX-EMPLOYEES,YES,7,3,66,658,22887,6074,1,3,1,4,24,3,4,1,9,9,7,0,6,13-03-23,,,,,,
STAFF-113,54,SINGLE,FEMALE,3,2,NON-TRAVEL,CURRENT EMPLOYEES,YES,26,3,30,142,13871,17328,4,4,4,3,12,3,3,2,23,5,3,4,4,10-04-18,,,,,,
STAFF-114,24,MARRIED,MALE,6,4,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,18,2,52,1127,13257,2774,3,3,2,3,12,3,3,0,6,5,3,1,2,01-05-19,,,,,,
STAFF-115,34,DIVORCED,FEMALE,9,8,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,6,3,45,1031,15000,4505,2,2,3,3,15,3,3,6,12,1,0,0,0,03-12-20,,,,,,
STAFF-116,37,SINGLE,MALE,8,10,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,3,3,87,1189,14506,7428,3,4,3,1,12,3,3,2,12,5,3,1,3,10-06-09,,,,,,
STAFF-117,34,SINGLE,FEMALE,18,5,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,5,6,45,1354,5615,11631,2,1,3,4,12,3,3,2,14,11,10,5,8,03-10-14,,,,,,
STAFF-118,36,MARRIED,FEMALE,27,10,TRAVEL_FREQUENTLY,CURRENT EMPLOYEES,NO,11,6,92,1467,22952,9738,3,4,2,3,14,3,3,0,10,9,7,2,8,04-07-22,,,,,,
STAFF-119,36,DIVORCED,FEMALE,7,4,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,3,2,39,922,2561,2835,3,4,1,1,22,3,4,5,7,1,0,0,0,06-11-16,,,,,,
STAFF-120,43,MARRIED,MALE,7,9,TRAVEL_FREQUENTLY,CURRENT EMPLOYEES,YES,26,3,92,394,19494,16959,3,4,3,4,12,4,3,1,25,25,12,4,12,06-08-20,,,,,,
STAFF-121,30,DIVORCED,MALE,8,8,TRAVEL_FREQUENTLY,CURRENT EMPLOYEES,NO,23,2,96,1312,22310,2613,1,3,1,3,25,2,4,1,10,10,7,0,9,14-09-14,,,,,,
STAFF-122,33,MARRIED,MALE,12,10,NON-TRAVEL,CURRENT EMPLOYEES,NO,22,2,95,750,15480,6146,3,2,3,1,13,4,3,0,8,7,7,0,7,03-01-91,,,,,,
STAFF-123,56,MARRIED,FEMALE,9,8,TRAVEL_RARELY,EX-EMPLOYEES,YES,14,2,72,441,4510,4963,3,2,2,1,18,3,3,9,7,5,4,4,3,04-08-03,,,,,,
STAFF-124,51,SINGLE,MALE,8,7,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,6,5,51,684,6462,19537,3,3,1,3,13,3,3,7,23,20,18,15,15,09-08-17,,,,,,
STAFF-125,31,MARRIED,MALE,9,10,TRAVEL_RARELY,EX-EMPLOYEES,YES,6,3,76,249,20739,6172,1,3,2,2,18,2,3,4,12,7,7,7,7,03-04-12,,,,,,
STAFF-126,26,MARRIED,FEMALE,23,8,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,6,3,46,841,23300,2368,2,2,3,3,19,2,3,1,5,5,4,4,3,12-03-20,,,,,,
